,,,,,,,,,DESTAQUES,,
TEMA,,PERGUNTA,COND.,TEMA MATERIAL,PONTOS,PESO,MENSAGEM,Relatório,PONTOS FORTES,PONTOS FRACOS,RECOMENDAÇÕES
2. SGA,2.1,A sua empresa monitora e reporta indicadores ambientais?,,,,,,,,,
,1,Não monitoramos.,,SIM,1,"0,5","
",,,"Os indicadores ambientais precisam ser conhecidos e reportados, são tão importantes para o desempenho da sua empresa quanto números financeiros.","Organize um Sistema de Gestão Ambiental segundo a Norma ISO 14.001/2005 em sua empresa. 

Um sistema de gestão ambiental (SGA) é um conjunto de políticas, procedimentos e práticas adotadas por uma organização para gerenciar e minimizar seu impacto ambiental. Ele visa promover a sustentabilidade ao integrar considerações ambientais nas operações diárias da empresa. 

Um SGA geralmente inclui atividades como identificação e avaliação de impactos ambientais, estabelecimento de metas e objetivos ambientais, implementação de medidas de controle e monitoramento do desempenho ambiental. O objetivo final é reduzir a pegada ecológica da organização e promover práticas empresariais responsáveis em relação ao meio ambiente."
,2,Monitoramos alguns indicadores ambientais. ,,SIM,2,"0,5",,,,,"Organize um Sistema de Gestão Ambiental segundo a Norma ISO 14.001/2005 em sua empresa. 

Um sistema de gestão ambiental (SGA) é um conjunto de políticas, procedimentos e práticas adotadas por uma organização para gerenciar e minimizar seu impacto ambiental. Ele visa promover a sustentabilidade ao integrar considerações ambientais nas operações diárias da empresa. 

Um SGA geralmente inclui atividades como identificação e avaliação de impactos ambientais, estabelecimento de metas e objetivos ambientais, implementação de medidas de controle e monitoramento do desempenho ambiental. O objetivo final é reduzir a pegada ecológica da organização e promover práticas empresariais responsáveis em relação ao meio ambiente."
,3,"
A empresa monitora seus indicadores ambientais e os reporta internamente.  ",,SIM,3,1,,,"Ótimo, conhecer o seu desempenho ambiental permite tomar decisões importantes rumo à sustentabilidade empresarial. ",,"Organize um Sistema de Gestão Ambiental segundo a Norma ISO 14.001/2005 em sua empresa. 

Um sistema de gestão ambiental (SGA) é um conjunto de políticas, procedimentos e práticas adotadas por uma organização para gerenciar e minimizar seu impacto ambiental. Ele visa promover a sustentabilidade ao integrar considerações ambientais nas operações diárias da empresa. 

Um SGA geralmente inclui atividades como identificação e avaliação de impactos ambientais, estabelecimento de metas e objetivos ambientais, implementação de medidas de controle e monitoramento do desempenho ambiental. O objetivo final é reduzir a pegada ecológica da organização e promover práticas empresariais responsáveis em relação ao meio ambiente."
,4,A empresa monitora e possui metas estabelecidas para melhorar seu desempenho.,,SIM,4,2,,,,,"Organize um Sistema de Gestão Ambiental segundo a Norma ISO 14.001/2005 em sua empresa. 

Um sistema de gestão ambiental (SGA) é um conjunto de políticas, procedimentos e práticas adotadas por uma organização para gerenciar e minimizar seu impacto ambiental. Ele visa promover a sustentabilidade ao integrar considerações ambientais nas operações diárias da empresa. 

Um SGA geralmente inclui atividades como identificação e avaliação de impactos ambientais, estabelecimento de metas e objetivos ambientais, implementação de medidas de controle e monitoramento do desempenho ambiental. O objetivo final é reduzir a pegada ecológica da organização e promover práticas empresariais responsáveis em relação ao meio ambiente."
,5,"A empresa monitora seus indicadores ambientais, possui um Sistema de Gestão Ambiental e já alcançou metas relevantes nesse setor.  ",,SIM,5,2,,,,,
,2.2,Existe algum documento que aborde o posicionamento socioambiental ou a política ambiental da empresa? ,,,,,,,,,
,1,Não,,,2,1,A missão socioambiental da empresa é um documento importante que deve estar divulgado em todos os materiais públicos da empresa. ,,,"O posicionamento socioambiental da empresa é super importante, serve para comunicar os seus compromissos com fornecedores, clientes e demais stakeholders.

Deve estar divulgado em todos os materiais públicos da empresa. ",
,2,Sim,"*
abre a 2.3",,5,1,A missão socioambiental da empresa é um documento importante que deve estar divulgado em todos os materiais públicos da empresa. ,,,,
,2.3,Descreva aqui o posicionamento socioambiental da empresa. ,,,,,,,,,
,,[TEXTO CURTO],,,,,,RELATÓRIO DE IMPACTO,,,
3. ENERGIA,3.1,Como a sua empresa monitora o consumo de energia?,,,,,,,,,
,1,Não monitoramos.,"*
Não abre a 3.2",SIM,1,"0,5","A indústria moveleira utiliza energia em várias etapas do processo de produção, desde a extração de matéria-prima até a fabricação, transporte e montagem dos móveis. Por isso, a energia é um dos impactos mais significativos.  ",,,Monitoramento de Energia,
,2,"Monitoramos, mas não estabelecemos metas de redução.","*
abre a 3.2",SIM,2,"0,5",,,,,
,3,A empresa monitora e tem reduzido o seu consumo.,"*
abre a 3.2",SIM,3,1,,,,,
,4,Alcançamos as metas de redução no consumo no último ano fiscal.,"*
abre a 3.2",SIM,4,2,,,,,
,5,A empresa possui tecnologias verdes implementadas para diversificar suas fontes de fornecimento de energia.,"*
abre a 3.2",SIM,5,2,,,,,
,3.2,Consumo de energia no último ano fiscal?,,,,,,,,,
,,"
Kw",,,,,,RELATÓRIO DE IMPACTO,,,
,3.3,Fontes de fornecimento de energia,,,,,,,,,
